Time (s/60),x (cm),Vtime (sec/60),Vave (cm/sec),Aave (cm/sec^2)
0,0.0,0.5,,
1,0.3,1.5,18.0,
2,0.6,2.5,18.0,0.0
3,1.0,3.5,24.0,6.0
4,1.4,4.5,23.999999999999993,-7.105427357601002e-15
5,1.9,5.5,30.0,6.000000000000007
6,2.5,6.5,36.00000000000001,6.000000000000007
7,3.0,7.5,30.0,-6.000000000000007
8,4.0,8.5,60.0,30.0
9,5.0,9.5,60.0,0.0
10,5.9,10.5,54.00000000000002,-5.999999999999979
11,6.9,11.5,60.0,5.999999999999979
12,7.0,12.5,5.999999999999979,-54.00000000000002
13,8.1,13.5,65.99999999999997,59.99999999999999
14,9.1,14.5,60.0,-5.999999999999972
15,10.2,15.5,65.99999999999997,5.999999999999972
16,11.6,16.5,84.00000000000003,18.000000000000057
17,13.1,17.5,90.0,5.999999999999972
18,14.6,18.5,90.0,0.0
19,15.2,19.5,35.99999999999998,-54.00000000000002
20,16.9,20.5,101.99999999999996,65.99999999999997
21,19.6,21.5,162.00000000000017,60.00000000000021
22,21.4,22.5,107.99999999999983,-54.00000000000034
23,23.3,23.5,114.00000000000013,6.000000000000298
24,25.3,24.5,120.0,5.999999999999872
25,27.4,25.5,125.99999999999987,5.999999999999872
26,29.6,26.5,132.00000000000017,6.000000000000298
27,32.0,27.5,143.99999999999991,11.999999999999744
28,34.1,28.5,126.00000000000009,-17.99999999999983
29,36.6,29.5,150.0,23.999999999999915
30,39.0,30.5,143.99999999999991,-6.000000000000085
31,41.7,31.5,162.00000000000017,18.000000000000256
32,44.5,32.5,167.99999999999983,5.999999999999659
33,47.2,33.5,162.00000000000017,-5.999999999999659
34,50.1,34.5,173.99999999999991,11.999999999999744
35,53.0,35.5,173.99999999999991,0.0
36,55.8,36.5,167.99999999999983,-6.000000000000085
37,58.9,37.5,186.00000000000009,18.000000000000256
38,62.0,38.5,186.00000000000009,0.0
39,65.4,39.5,204.00000000000034,18.000000000000256
40,68.9,40.5,210.0,5.999999999999659
41,72.0,41.5,185.99999999999966,-24.00000000000034
42,75.5,42.5,210.0,24.00000000000034
43,78.9,43.5,204.00000000000034,-5.999999999999659
44,82.4,44.5,210.0,5.999999999999659
45,85.6,45.5,191.99999999999932,-18.000000000000682
46,88.7,46.5,186.0000000000005,-5.999999999998806
47,91.5,47.5,167.99999999999983,-18.000000000000682
48,94.3,48.5,167.99999999999983,0.0
49,96.6,49.5,137.99999999999983,-30.0
50,98.5,50.5,114.00000000000034,-23.99999999999949
51,100.0,51.5,90.0,-24.00000000000034
52,101.0,52.5,60.0,-30.0
53,101.9,53.5,54.00000000000034,-5.999999999999659
